"code","type","floor","status","companyName","companyNameEng","shortName","listedDate","delistedDate","companyId","isin","indexCode"
"AAV","STOCK","HNX","listed","Công ty Cổ phần AAV Group","AAV Group Joint Stock Company","AAV GROUP","2018-06-25",,"5406","VN000000AAV0",
"CAG","STOCK","HNX","listed","Công ty Cổ phần Cảng An Giang","An Giang Port Joint Stock Company","Cảng An Giang","2017-12-04",,"5407","VN000000CAG7",
"IVS","STOCK","HNX","listed","Công ty Cổ phần Chứng khoán Đầu tư Việt Nam","Vietnam Investment Securities Company","CK Đầu tư VN","2011-08-01",,"3219","VN000000IVS5",
"SVN","STOCK","HNX","listed","Công ty cổ phần Tập đoàn Vexilla Việt Nam","Vexilla Viet Nam Group Joint Stock Company","Tập đoàn Vexilla VN","2011-07-26",,"3228","VN000000SVN5",
"PDB","STOCK","HNX","listed","Công ty cố phần tập đoàn đầu tư DIN Capital","DIN capital investment group joint stock company","Đầu tư Din Capital","2015-08-03",,"3941","VN000000PDB4",
"DS3","STOCK","HNX","listed","Công ty Cổ phần Quản lý Đường sông số 3","Inland Waterway Management Joint Stock Company N0 3","Đường sông số 3","2017-08-21",,"5470","VN000000DS33",
"LBE","STOCK","HNX","listed","Công ty Cổ phần Sách và Thiết bị trường học Long An","Long An School Book and Equipment Joint Stock Company","Sách Long An","2008-02-22",,"1134","VN000000LBE1",
"CTT","STOCK","HNX","listed","Công ty Cổ phần chế tạo máy - VINACOMIN","Vinacomin - Machinery Joint Stock Company","C.tạo máy VINACOMIN","2015-07-17",,"4027","VN000000CTT0",
"PIC","STOCK","HNX","listed","Công ty Cổ phần Đầu tư Điện lực 3","PC3-Investment Joint Stock Company","Đầu tư Điện lực 3","2017-01-09",,"4029","VN000000PIC1",
"CJC","STOCK","HNX","listed","Công ty Cổ phần Cơ điện Miền Trung (CEMC)","Central Area Electrical Mechanical Joint Stock Company","Cơ điện M.Trung","2006-12-14",,"1167","VN000000CJC7",
"DHI","STOCK","HNX","delisted","Công ty Cổ phần In Diên Hồng","Dien Hong Printing Joint Stock Company",,"2006-12-04","2013-10-24","1169",,
"KHS","STOCK","HNX","listed","Công ty Cổ phần Kiên Hùng","Kien Hung Joint Stock Company","CTCP Kiên Hùng","2017-12-26",,"5692","VN000000KHS0",
"PSW","STOCK","HNX","listed","Công ty Cổ phần Phân bón và Hóa chất dầu khí Tây Nam Bộ","South-West Petrovietnam Fertilizer and Chemicals Joint Stock COmpany","Phân bón H.chất D.khí Tây Nam Bộ","2015-07-21",,"4078","VN000000PSW8",
"SJE","STOCK","HNX","listed","Công ty Cổ phần Sông Đà 11","Song Da No 11 Joint Stock Company","CTCP Sông Đà 11","2006-12-14",,"1225","VN000000SJE9",
"BII","STOCK","HNX","listed","Công ty Cổ phần Louis Land","Louis Land Joint Stock Company","Louis Land","2014-09-22",,"4084","VN000000BII8",
"TVC","STOCK","HNX","listed","Công ty cổ phần Tập đoàn Quản lý Tài sản Trí Việt","Tri Viet Asset Management Corporation Joint Stock Company","Tài sản Trí Việt","2014-09-23",,"4124","VN000000TVC6","HNX30"
"EVS","STOCK","HNX","listed","Công ty Cổ phần Chứng khoán Everest","Everest Securities Joint Stock Company","CK Everest","2019-06-26",,"5955","VN000000EVS4",
"DDG","STOCK","HNX","listed","Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương","Indochine Import Export Industrial Investment Joint Stock Company","XNK Đông Dương","2018-12-18",,"5992","VN000000DDG9","HNX30"
"KVC","STOCK","HNX","listed","Công ty Cổ phần sản xuất xuất nhập khẩu INOX Kim vĩ","Kim Vi Inox Import Export Production Joint Stock Company","SX XNK INOX Kim vĩ","2015-04-14",,"4276","VN000000KVC5",
"SMN","STOCK","HNX","listed","Công ty Cổ phần sách và thiết bị giáo dục miền Nam ","SOUTH BOOKS & EDUCATIONAL EQUIPMENT JOINT STOCK COMPANY","Sách T.bị M.Nam","2015-07-14",,"4292","VN000000SMN4",
"TAR","STOCK","HNX","listed","Công ty cổ phần Nông nghiệp Công nghệ cao Trung An","Trung An Hi - Tech Farming Joint Stock Company","NN C.nghệ Trung An","2019-02-20",,"6152","VN000000TAR8","HNX30"
"PMP","STOCK","HNX","listed","Công ty Cổ phần Bao bì Đạm Phú Mỹ","DAM PHU MY PACKAGING JOINT STOCK COMPANY","Bao bì Đạm Phú Mỹ","2015-09-22",,"4410","VN000000PMP5",
"NTH","STOCK","HNX","listed","Công ty cổ phần Thủy điện Nước trong","Nuoc Trong Hydro - Power Joint Stock Company","Thủy điện Nước trong","2019-06-19",,"6174","VN000000NTH2",
"DGL","STOCK","HNX","delisted","Công ty Cổ phần Hóa Chất Đức Giang - Lào Cai","Ducgiang – Lao Cai Chemicals Joint Stock Company","Hóa Chất Đức Giang-Lào Cai","2015-10-20","2018-09-04","4434","VN000000DGL2",
"PMB","STOCK","HNX","listed","Công ty Cổ phần Phân bón và Hóa chất Dầu khí miền Bắc ","North PetroVietnam Fertilizer & Chemicals Joint Stock Company","H.chất DK M.Bắc","2015-10-07",,"4446","VN000000PMB5",
"V21","STOCK","HNX","listed","Công ty Cổ phần Vinaconex 21","Vinaconex 21 Joint Stock Company","CTCP Vinaconex 21","2010-04-21",,"2763","VN000000V218",
"CTP","STOCK","HNX","listed","CÔNG TY CỔ PHẦN MINH KHANG CAPITAL TRADING PUBLIC","MINH KHANG CAPITAL TRADING PUBLIC JOINT STOCK COMPANY","CTCP Minh Khang","2016-07-28",,"4792","VN000000CTP8",
"VCS","STOCK","HNX","listed","Công ty Cổ phần VICOSTONE","VICOSTONE Joint Stock Company","CTCP VICOSTONE","2007-12-17",,"2153","VN000000VCS8","HNX30"
"VC3","STOCK","HNX","listed","CÔNG TY CỔ PHẦN TẬP ĐOÀN NAM MÊ KÔNG","NAM MEKONG GROUP JOINT STOCK COMPANY","TẬP ĐOÀN NAM MÊ KÔNG","2007-12-13",,"2155","VN000000VC39","HNX30"
"TKG","STOCK","HNX","listed","Công ty cổ phần Sản xuất và Thương mại Tùng Khánh","Tung Khanh trading and manufacturing joint stock company","Sản xuất và thương mại Tùng Khánh","2022-08-29",,"10953","VN000000TKG0",
"SVS","STOCK","HNX","delisted","Công ty Cổ phần Chứng khoán Sao Việt","Viet Star Securities Corporation",,"2010-07-07","2013-05-09","2187",,
"HBS","STOCK","HNX","listed","Công ty Cổ phần Chứng khoán Hòa Bình","Hoa Binh Securities Joint Stock Company","CK Hòa Bình","2010-07-16",,"2834","VN000000HBS9",
"LDP","STOCK","HNX","listed","Công ty Cổ phần Dược Lâm Đồng - Ladophar","Lamdong Pharmaceutical Joint Stock Company","Dược Lâm Đồng","2010-07-20",,"2844","VN000000LDP3",
"VCH","STOCK","HNX","delisted","Công ty Cổ phần Đầu tư xây dựng và Phát triển hạ tầng Vinaconex","Vinaconex Infrastructure Development And Investment Joint Stock Company",,"2010-07-21","2013-05-20","2849",,
